a,あ,ア,亜
ei,えい,エイ,泳栄英営永衛映影詠鋭
kyo,きょ,キョ,去挙居許巨拒拠虚距据
gou,ごう,ゴウ,楽強合業号格郷剛拷豪
saku,さく,サク,作数昨策冊削搾索錯酢
shaku,しゃく,シャク,石赤昔借尺錯勺爵酌釈
ju,じゅ,ジュ,入受習授樹就従儒寿需
su,す,ス,子数西主守州師素窓寿
ten,てん,テン,天店点転典伝蚕展添殿
hyou,ひょう,ヒョウ,氷表平標票兵俵評拍漂
mou,もう,モウ,毛望亡帽忙妄猛盲網耗
in,いん,イン,音引員飲院印因姻陰隠韻
ke,け,ケ,花気家化希仮価華塊怪懸
koku,こく,コク,石国黒谷告可刻穀殻克酷
sa,さ,サ,左作茶差査再砂佐唆詐鎖
shoku,しょく,ショク,色食植続織職属嘱飾殖触
jun,じゅん,ジュン,順準純准循旬殉潤盾巡遵
setsu,せつ,セツ,切雪殺折節説接設拙摂窃
soku,そく,ソク,足数息速側束職則測促即
zou,ぞう,ゾウ,三象雑像増造臓蔵曹憎贈
hai,はい,ハイ,配敗俳拝背肺廃排杯輩抜
bai,ばい,バイ,貝買売倍梅枚殻培媒賠陪
gi,ぎ,ギ,議技義疑岐偽儀宜戯擬欺犠
sho,しょ,ショ,書野所暑初処署諸且庶緒疎
juu,じゅう,ジュウ,十拾住重従縦充柔汁渋獣銃
jin,じん,ジン,人神臣仁刃尋甚尽迅陣沈妊
to,と,ト,土図頭登都度徒吐塗斗渡途
dou,どう,ドウ,同道登動童働堂導銅脳洞胴
rou,ろう,ロウ,労老朗滝竜糧露廊楼浪漏郎
so,そ,ソ,組想祖素且塑措疎礎租粗訴阻
bu,ぶ,ブ,分歩部不夫無武豊賦侮舞奉霧
hei,へい,ヘイ,病平兵並閉陛坪丙併塀幣弊柄
rei,れい,レイ,礼令例冷戻涙励鈴隷零霊麗齢
gen,げん,ゲン,元原言験眼減現限厳源嫌幻弦玄
chi,ち,チ,知地池丁治置質値恥痴稚致遅徴
chuu,ちゅう,チュウ,中虫昼住柱注仲宙忠沖抽衷鋳駐
kin,きん,キン,金京近今訓均禁勤筋斤琴緊菌襟謹
kon,こん,コン,金近今根建混困献墾婚恨懇昆紺魂
en,えん,エン,円園遠塩圧演延沿宴援炎煙猿縁鉛垣
ou,おう,オウ,王黄央横区圧往応桜皇凹奥押欧殴翁
ku,く,ク,九口公工宮究区苦庫功久句供紅駆貢
go,ご,ゴ,五午後語期護誤后降拒互呉娯御悟碁
san,さん,サン,三山算参散産残賛酸蚕操傘惨桟尽杉
sha,しゃ,シャ,左車社写者予舎謝砂射捨卸赦斜煮遮
sui,すい,スイ,出水垂推剤吹帥炊睡粋衰遂酔錘穂塁
seki,せき,セキ,石赤夕昔席積舎績責潟釈寂隻惜斥析籍跡
tan,たん,タン,炭短反単担探誕段堪但丹嘆淡端胆鍛壇弾
yuu,ゆう,ユウ,右友油有由遊勇優郵又幽悠憂猶裕誘雄融
ryou,りょう,リョウ,両漁養料良量領竜了僚寮涼猟療糧陵霊郎
kaku,かく,カク,画角客各覚格確拡閣革嚇核殻獲穫較郭隔脚
kyuu,きゅう,キュウ,休九弓宮急球究級救求泣給久旧吸扱丘及朽窮糾
ko,こ,コ,古戸去庫湖固居個故呼己箇拠虚孤弧枯誇雇顧鼓
tai,たい,タイ,大太体台来対待代帯隊態貸退耐怠替泰滞胎袋逮
hi,ひ,ヒ,悲皮費飛比肥非否批秘卑妃彼扉披泌疲碑罷被避
han,はん,ハン,半坂反板飯判版犯班伴帆搬畔繁般藩販範煩頒翻凡
shu,しゅ,シュ,手首数主取守酒最種修輸株衆朱殊狩珠趣酬枢捜掃鋳
fu,ふ,フ,父風歩負不付夫府婦富布怖扶敷普浮符腐膚譜賦赴附
i,い,イ,委意医以位囲胃衣易移異遺依偉威尉慰為維緯違蛇鋳唯
ji,じ,ジ,字耳二寺時自地仕事持次児治辞似示磁除侍慈滋璽稚弐
you,よう,ヨウ,曜用様洋羊葉陽栄要養応桜容幼腰幽庸揚揺擁溶窯謡踊
kai,かい,カイ,画会回海絵界開階改械街解快灰届介塊壊怪悔懐戒拐皆掛刈
sai,さい,サイ,才細西切祭最菜殺再妻採災際財済裁債催宰彩栽歳砕斎載斉
hou,ほう,ホウ,方放包法保報豊並宝訪棚封倣俸奉峰崩抱泡砲縫胞芳褒邦飽
bou,ぼう,ボウ,望暴貿防夢亡忘棒畝乏傍剖坊妨帽忙房某冒紡肪膨謀矛霧妄
jou,じょう,ジョウ,上場乗定成静承常情条状城蒸盛尉丈冗剰壌嬢浄畳譲醸錠縄娘
tei,てい,テイ,体弟第丁定庭低停底提程庁滞聴亭偵貞呈堤帝廷抵締艇訂逓邸
shuu,しゅう,シュウ,秋週主州拾終習集周祝修収宗就衆執湿寿囚愁秀臭舟襲酬醜渋捜鋳
sen,せん,セン,山先千川線船戦浅選銭宣専泉洗染桟仙占扇栓潜旋繊薦践遷銑鮮禅
kei,けい,ケイ,京兄形計係軽競鏡型径景境経敬系警掛傾刑啓契恵慶憩掲携渓継茎蛍鶏
shin,しん,シン,森心新親深申真神身進参信臣清針伸侵唇娠寝審慎振浸紳薪診辛震請津
chou,ちょう,チョウ,町場朝長鳥重丁帳調登兆腸条張提庁潮頂畳澄弔彫徴懲挑眺聴脹超跳塚釣
ken,けん,ケン,犬見間研県欠健建験件券検険巻憲権絹乾勧倹兼剣圏堅嫌懸献肩謙賢軒遣顕繭
ka,か,カ,下火花何夏家科歌化荷和加果課貨仮価可河過個渦佳嫁寡暇架禍稼箇華菓偽靴甲突伐
kyou,きょう,キョウ,校京強教兄橋競共協鏡続境興経供胸郷敬孝窮享凶叫峡恐恭挟況狂狭矯脅響驚暁茎香
sei,せい,セイ,正生青星晴声西世整省成清静情制勢性政精製済蒸盛聖誠井歳剤浄姓征牲誓請逝斉婿
ki,き,キ,気虫帰汽記期起喜器希旗機季紀基寄規危揮机貴己企奇岐幾忌既棋棄祈軌輝飢騎鬼犠崎肌姫
sou,そう,ソウ,早草走世想相送箱倉巣争総宗将創奏層操窓装蔵扱繰桑奨僧双喪壮捜掃挿曹槽燥荘葬藻遭霜騒贈滝
tou,とう,トウ,冬刀東当答頭道読丁登島投湯等豆灯統党糖討納稲酬斗倒凍唐塔悼搭桃棟盗痘筒到謄踏逃透陶騰闘
kan,かん,カン,間寒感漢館完官管観関刊幹慣巻干看簡乾冠勘勧喚堪寛患憾換敢棺款歓汗環甘監緩缶肝艦貫還鑑閑陥甲
shi,し,シ,四子糸姉市思止紙自矢仕使始指死詩歯次司史士氏試師志支枝資飼示姿私至視詞誌伺刺嗣施旨祉紫肢脂諮賜雌侍芝是漬
kou,こう,コウ,口校黄後交光公工広考行高区向幸港候功好康航続格確興効厚構耕講鉱拡后孝皇紅鋼降較享峡狭仰侯坑孔巧恒慌抗拘控攻更江洪溝甲硬稿絞綱肯荒衡貢購郊酵項香岬耗
shou,しょう,ショウ,小上正生青少星声勝商昭消章乗相登様唱松焼照省笑象賞清承招証性政精接従傷将障聖創装井且挟咲償匠升召奨宵尚床彰抄掌昇晶沼渉焦症硝礁祥称粧紹肖衝訟詔詳鐘姓請摂荘
