'犬','1','1','both'
'犯','1','1','both'
'独','1','1','both'
'猫','1','1','both'
'猿','1','1','both'
'獣','1','1','both'
'獲','1','1','both'
'玉','1','1','both'
'珍','1','1','both'
'球','1','1','both'
'琴','1','1','both'
'瓦','1','1','both'
'用','1','1','both'
'田','1','1','both'
'申','1','1','both'
'町','1','1','both'
'異','1','1','both'
'疑','1','1','both'
'疲','1','1','both'
'癖','1','1','both'
'的','1','1','both'
'皆','1','1','both'
'皮','1','1','both'
'盗','1','1','both'
'盾','1','1','both'
'真','1','1','both'
'眺','1','1','both'
'瞬','1','1','both'
'瞳','1','1','both'
'矛','1','1','both'
'矢','1','1','both'
'知','1','1','both'
'短','1','1','both'
'矯','1','1','both'
'研','1','1','both'
'硬','1','1','both'
'磨','1','1','both'
'礎','1','1','both'
'社','1','1','both'
'祈','1','1','both'
'秀','1','1','both'
'秋','1','1','both'
'秘','1','1','both'
'程','1','1','both'
'種','1','1','both'
'稼','1','1','both'
'穂','1','1','both'
'穏','1','1','both'
'穴','1','1','both'
'究','1','1','both'
'突','1','1','both'
'窓','1','1','both'
'窯','1','1','both'
'竜','1','1','both'
'童','1','1','both'
'竹','1','1','both'
'笛','1','1','both'
'筆','1','1','both'
'等','1','1','both'
'筋','1','1','both'
'筒','1','1','both'
'管','1','1','both'
'築','1','1','both'
'粋','1','1','both'
'粒','1','1','both'
'粗','1','1','both'
'粘','1','1','both'
'糸','1','1','both'
'紙','1','1','both'
'紡','1','1','both'
'紫','1','1','both'
'統','1','1','both'
'絹','1','1','both'
'継','1','1','both'
'綱','1','1','both'
'網','1','1','both'
'綿','1','1','both'
'編','1','1','both'
'練','1','1','both'
'縁','1','1','both'
'縄','1','1','both'
'縛','1','1','both'
'縦','1','1','both'
'縫','1','1','both'
'繕','1','1','both'
'繭','1','1','both'
'罪','1','1','both'
'置','1','1','both'
'羊','1','1','both'
'美','1','1','both'
'習','1','1','both'
'翼','1','1','both'
'考','1','1','both'
'者','1','1','both'
'耐','1','1','both'
'耕','1','1','both'
'耳','1','1','both'
'聴','1','1','both'
'肝','1','1','both'
'肩','1','1','both'
'脂','1','1','both'
'腕','1','1','both'
'腰','1','1','both'
'腹','1','1','both'
'臨','1','1','both'
'至','1','1','both'
'致','1','1','both'
'舌','1','1','both'
'良','1','1','both'
'艶','1','1','both'
'花','1','1','both'
'芳','1','1','both'
'芽','1','1','both'
'茂','1','1','both'
'茎','1','1','both'
'草','1','1','both'
'荷','1','1','both'
'菜','1','1','both'
'葉','1','1','both'
'葬','1','1','both'
'蓄','1','1','both'
'蔵','1','1','both'
'薦','1','1','both'
'薪','1','1','both'
'薫','1','1','both'
'薬','1','1','both'
'藤','1','1','both'
'藻','1','1','both'
'虎','1','1','both'
'虐','1','1','both'
'虫','1','1','both'
'蚕','1','1','both'
'蛍','1','1','both'
'血','1','1','both'
'衣','1','1','both'
'衰','1','1','both'
'袋','1','1','both'
'袖','1','1','both'
'被','1','1','both'
'裏','1','1','both'
'補','1','1','both'
'裸','1','1','both'
'褒','1','1','both'
'襟','1','1','both'
'襲','1','1','both'
'討','1','1','both'
'記','1','1','both'
'設','1','1','both'
'許','1','1','both'
'訳','1','1','both'
'訴','1','1','both'
'診','1','1','both'
'詔','1','1','both'
'詠','1','1','both'
'詳','1','1','both'
'誇','1','1','both'
'誉','1','1','both'
'認','1','1','both'
'誓','1','1','both'
'誘','1','1','both'
'誠','1','1','both'
'誤','1','1','both'
'諭','1','1','both'
'諮','1','1','both'
'謝','1','1','both'
'謹','1','1','both'
'譲','1','1','both'
'谷','1','1','both'
'豊','1','1','both'
'豚','1','1','both'
'貫','1','1','both'
'責','1','1','both'
'買','1','1','both'
'貸','1','1','both'
'賄','1','1','both'
'賜','1','1','both'
'賢','1','1','both'
'賭','1','1','both'
'走','1','1','both'
'赴','1','1','both'
'趣','1','1','both'
'跡','1','1','both'
'路','1','1','both'
'躍','1','1','both'
'身','1','1','both'
'車','1','1','both'
'軒','1','1','both'
'輝','1','1','both'
'輪','1','1','both'
'辛','1','1','both'
'辞','1','1','both'
'辱','1','1','both'
'迎','1','1','both'
'近','1','1','both'
'迫','1','1','both'
'述','1','1','both'
'迷','1','1','both'
'追','1','1','both'
'送','1','1','both'
'造','1','1','both'
'遂','1','1','both'
'運','1','1','both'
'遭','1','1','both'
'遮','1','1','both'
'選','1','1','both'
'避','1','1','both'
'酌','1','1','both'
'配','1','1','both'
'酔','1','1','both'
'酢','1','1','both'
'酸','1','1','both'
'醜','1','1','both'
'醸','1','1','both'
'里','1','1','both'
'野','1','1','both'
'量','1','1','both'
'針','1','1','both'
'釣','1','1','both'
'鉛','1','1','both'
'銭','1','1','both'
'鋭','1','1','both'
'鋳','1','1','both'
'鋼','1','1','both'
'錦','1','1','both'
'鍛','1','1','both'
'鎖','1','1','both'
'鏡','1','1','both'
'鐘','1','1','both'
'鑑','1','1','both'
'長','1','1','both'
'門','1','1','both'
'闘','1','1','both'
'防','1','1','both'
'阻','1','1','both'
'限','1','1','both'
'陵','1','1','both'
'険','1','1','both'
'隅','1','1','both'
'際','1','1','both'
'障','1','1','both'
'雇','1','1','both'
'雪','1','1','both'
'雲','1','1','both'
'雷','1','1','both'
'霜','1','1','both'
'霧','1','1','both'
'革','1','1','both'
'靴','1','1','both'
'響','1','1','both'
'額','1','1','both'
'顔','1','1','both'
'願','1','1','both'
'類','1','1','both'
'顧','1','1','both'
'飢','1','1','both'
'飯','1','1','both'
'飲','1','1','both'
'飼','1','1','both'
'飾','1','1','both'
'養','1','1','both'
'館','1','1','both'
'首','1','1','both'
'騒','1','1','both'
'骨','1','1','both'
'髪','1','1','both'
'鬼','1','1','both'
'魂','1','1','both'
'鮮','1','1','both'
'鯨','1','1','both'
'鳥','1','1','both'
'鶏','1','1','both'
'麗','1','1','both'
'麦','1','1','both'
'麻','1','1','both'
'黙','1','1','both'
'鼓','1','1','both'
'鼻','1','1','both'
'世','2','1','both'
'中','2','1','both'
'久','2','1','both'
'事','2','1','both'
'井','2','1','both'
'亡','2','1','both'
'人','2','1','both'
'今','2','1','both'
'仕','2','1','both'
'仮','2','1','both'
'会','2','1','both'
'伴','2','1','both'
'体','2','1','both'
'作','2','1','both'
'便','2','1','both'
'元','2','1','both'
'兄','2','1','both'
'内','2','1','both'
'再','2','1','both'
'力','2','1','both'
'南','2','1','both'
'去','2','1','both'
'口','2','1','both'
'右','2','1','both'
'名','2','1','both'
'命','2','1','both'
'図','2','1','both'
'土','2','1','both'
'執','2','1','both'
'境','2','1','both'
'夏','2','1','both'
'奉','2','1','both'
'子','2','1','both'
'己','2','1','both'
'度','2','1','both'
'弟','2','1','both'
'御','2','1','both'
'恵','2','1','both'
'悪','2','1','both'
'情','2','1','both'
'惨','2','1','both'
'拾','2','1','both'
'政','2','1','both'
'文','2','1','both'
'施','2','1','both'
'易','2','1','both'
'昔','2','1','both'
'星','2','1','both'
'月','2','1','both'
'有','2','1','both'
'望','2','1','both'
'末','2','1','both'
'板','2','1','both'
'業','2','1','both'
'無','2','1','both'
'牙','2','1','both'
'物','2','1','both'
'率','2','1','both'
'男','2','1','both'
'登','2','1','both'
'相','2','1','both'
'眼','2','1','both'
'石','2','1','both'
'砂','2','1','both'
'示','2','1','both'
'祝','2','1','both'
'節','2','1','both'
'米','2','1','both'
'糧','2','1','both'
'経','2','1','both'
'緑','2','1','both'
'緒','2','1','both'
'織','2','1','both'
'脚','2','1','both'
'自','2','1','both'
'色','2','1','both'
'華','2','1','both'
'蛇','2','1','both'
'街','2','1','both'
'装','2','1','both'
'西','2','1','both'
'説','2','1','both'
'謀','2','1','both'
'豆','2','1','both'
'貢','2','1','both'
'貧','2','1','both'
'贈','2','1','both'
'遊','2','1','both'
'道','2','1','both'
'遠','2','1','both'
'都','2','1','both'
'鈴','2','1','both'
'除','2','1','both'
'霊','2','1','both'
'露','2','1','both'
'宮','4','1','both'
'殺','4','1','both'
'由','4','1','both'
'読','4','1','both'
'乗','1','2','both'
'乱','1','2','both'
'乳','1','2','both'
'乾','1','2','both'
'二','1','2','both'
'五','1','2','both'
'付','1','2','both'
'任','1','2','both'
'伏','1','2','both'
'住','1','2','both'
'何','1','2','both'
'余','1','2','both'
'係','1','2','both'
'倒','1','2','both'
'値','1','2','both'
'偽','1','2','both'
'備','1','2','both'
'傾','1','2','both'
'優','1','2','both'
'兆','1','2','both'
'光','1','2','both'
'全','1','2','both'
'写','1','2','both'
'凍','1','2','both'
'凝','1','2','both'
'刺','1','2','both'
