質,Onyomi*シツ、シチ、ち、ち*4
購,Onyomi*コウ*1
赦,Onyomi*シャ*1
距,Onyomi*キョ*1
践,Onyomi*セン*1
軌,Onyomi*キ*1
軍,Onyomi*グン*1
軸,Onyomi*ジク*1
較,Onyomi*カク*1
輩,Onyomi*ハイ*1
輸,Onyomi*ユ*1
轄,Onyomi*カツ*1
農,Onyomi*ノウ*1
迅,Onyomi*ジン*1
迭,Onyomi*テツ*1
逐,Onyomi*チク*1
逓,Onyomi*テイ*1
途,Onyomi*ト*1
逮,Onyomi*タイ*1
週,Onyomi*シュウ*1
逸,Onyomi*イツ*1
遇,Onyomi*グウ*1
遍,Onyomi*ヘン*1
達,Onyomi*タツ*1
適,Onyomi*テキ*1
遵,Onyomi*ジュン*1
遷,Onyomi*セン*1
遺,Onyomi*イ、ユイ*2
還,Onyomi*カン*1
邦,Onyomi*ホウ*1
邪,Onyomi*ジャ*1
邸,Onyomi*テイ*1
郊,Onyomi*コウ*1
郎,Onyomi*ロウ*1
郡,Onyomi*グン*1
部,Onyomi*ブ*1
郭,Onyomi*カク*1
郵,Onyomi*ユウ*1
郷,Onyomi*キョウ、ゴウ*2
酪,Onyomi*ラク*1
酬,Onyomi*シュウ*1
酵,Onyomi*コウ*1
酷,Onyomi*コク*1
釈,Onyomi*シャク*1
鉄,Onyomi*テツ*1
鉢,Onyomi*ハチ、ハツ*2
鉱,Onyomi*コウ*1
銀,Onyomi*ギン*1
銃,Onyomi*ジュウ*1
銅,Onyomi*ドウ*1
銘,Onyomi*メイ*1
錠,Onyomi*ジョウ*1
錬,Onyomi*レン*1
錯,Onyomi*サク*1
録,Onyomi*ロク*1
閑,Onyomi*カン*1
閣,Onyomi*カク*1
閥,Onyomi*バツ*1
閲,Onyomi*エツ*1
阪,Onyomi*ハン*1
附,Onyomi*フ*1
陛,Onyomi*ヘイ*1
院,Onyomi*イン*1
陣,Onyomi*ジン*1
陪,Onyomi*バイ*1
陳,Onyomi*チン*1
陶,Onyomi*トウ*1
陸,Onyomi*リク*1
陽,Onyomi*ヨウ*1
隆,Onyomi*リュウ*1
隊,Onyomi*タイ*1
階,Onyomi*カイ*1
随,Onyomi*ズイ*1
隷,Onyomi*レイ*1
隻,Onyomi*セキ*1
雅,Onyomi*ガ*1
雑,Onyomi*ザツ、ゾウ*2
雰,Onyomi*フン*1
零,Onyomi*レイ*1
電,Onyomi*デン*1
需,Onyomi*ジュ*1
非,Onyomi*ヒ*1
韓,Onyomi*カン*1
韻,Onyomi*イン*1
項,Onyomi*コウ*1
順,Onyomi*ジュン*1
須,Onyomi*ス*1
頑,Onyomi*ガン*1
頒,Onyomi*ハン*1
領,Onyomi*リョウ*1
頻,Onyomi*ヒン*1
題,Onyomi*ダイ*1
顕,Onyomi*ケン*1
餓,Onyomi*ガ*1
駄,Onyomi*ダ*1
駅,Onyomi*エキ*1
駐,Onyomi*チュウ*1
騎,Onyomi*キ*1
験,Onyomi*ケン、ゲン*2
騰,Onyomi*トウ*1
髄,Onyomi*ズイ*1
魅,Onyomi*ミ*1
魔,Onyomi*マ*1
齢,Onyomi*レイ*1
丑,Kunyomi*うし*1
且,Kunyomi*か－つ*1
串,Kunyomi*くし*1
乞,Kunyomi*こ－う*1
