ミツ,密蜜
ミャク,脈
ミョウ,名命妙明苗
ミン,民眠
ム,矛務霧夢武無謀
メイ,免名命銘明盟迷鳴滅綿面
モ,模茂
モウ,亡妄盲望毛耗猛網
モク,木目黙
モツ,物
モン,門問聞文紋
ヤ,夜野
ヤク,厄役疫益約薬訳躍
ユ,愉癒諭輸油由遊
ユイ,唯遺
ユウ,優憂有勇友右幽悠猶由融裕誘遊郵雄
ヨ,与予余誉預
ヨウ,容溶幼庸揚陽揺擁曜様洋羊窯腰葉要謡用踊養
ヨク,抑欲浴翌翼
ラ,羅裸
ライ,来礼雷頼
ラク,楽絡落酪
ラン,乱卵欄濫覧
リ,利吏履痢裏理里離
リキ,力
リク,陸
リチ,律
リツ,律率立
リャク,略
リュウ,立粒柳流硫留竜隆
リョ,慮虜旅
リョウ,両了料涼漁猟僚寮療糧量良陵霊領
リョク,力緑
リン,倫輪厘林鈴臨隣
ル,流留
ルイ,塁涙累類
レイ,令冷例励戻礼隷零霊麗鈴齢
レキ,暦歴
レツ,列烈裂劣
レン,廉恋練連錬
ロ,呂炉路露
ロウ,老労郎廊朗浪楼糧漏露
ロク,六緑録
ロン,論
ワ,和話
ワイ,賄
ワク,惑
ワン,湾腕
a,亜吾
ai,哀愛
aku,悪握
atsu,圧
an,安暗案
i,以位依偉医唯囲委威尉意慰易為異移維緯胃衣違遺
iki,域
iku,育
ichi,一壱
itsu,一逸
in,印員因姻引院陰隠音韻飲
u,右宇有羽雨
un,運雲
e,会依回恵絵
ei,営影映栄永泳英衛詠鋭
eki,役易液疫益駅
etsu,悦謁越閲
en,円園塩媛宴延怨援沿演炎煙猿縁艶遠鉛
o,和悪汚
ou,凹央奥往応押桜横欧殴王皇翁黄
oku,億屋憶
otsu,乙
on,怨恩温穏遠音
ka,下仮何佳価加化可夏嫁家寡暇果架歌河渦火禍科稼箇花荷菓華課貨過靴
kai,介会回塊壊快怪悔懐戒拐改械海灰界皆絵街解開階
kaku,各嚇客拡核格殻獲画確穫覚角較郭閣隔革
katsu,割喝括活渇滑褐轄
kan,乾冠刊勘勧喚堪完官寒寛巻干幹患感慣憾換敢棺款歓汗漢環甘甲監看管簡緩缶肝艦観貫還鑑閑間関陥韓館
ga,我牙瓦画芽賀雅餓
gai,劾外害慨概涯街該
gaku,学岳楽額
gatsu,合月
gan,丸元含岩岸眼頑顔願
ki,亀企危喜器基奇季寄岐己希帰幾忌揮旗既期机棄棋機気汽祈紀規記貴起軌輝飢騎鬼
kiku,菊
kichi,吉
kitsu,吉喫詰
kya,脚
kyaku,却客脚
kyuu,丘久九休及吸宮弓急救旧朽求泣球究窮糾級給
kyo,去居巨拒拠挙虚許距
kyou,享京供兄共凶協叫境峡強恐恭挟教橋況狂狭矯競経胸脅興郷鏡響香驚
kyoku,局曲極
kin,今勤均斤琴禁筋緊菌襟謹近金錦
gi,偽儀宜戯技擬欺犠疑義議
gyaku,虐逆
gyuu,牛
gyo,御漁魚
